Abbreviation	Equation	Lower	Upper	Present	Synthetic objective	GeneAssociation	Knockout cost	Knockin cost
HPPK2	[c] : 6hmhpt + atp --> 6hmhptpp + amp + h			1	0	((b0142))	1	1
HPPPNDO	[c] : dhpppn + o2 --> h + hkndd			1	0	((b0348))	1	1
HPPPNt2rpp	3hpppn[p] + h[p] <==> 3hpppn[c] + h[c]			1	0	((b0353))	1	1
HPPPNtex	3hpppn[e] <==> 3hpppn[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
HPYRI	[c] : hpyr <==> 2h3oppan			1	0	((b0508))	1	1
HPYRRx	[c] : h + hpyr + nadh --> glyc-R + nad			1	0	((((b1033)_OR_(b3553))))	2	1
HPYRRy	[c] : h + hpyr + nadph --> glyc-R + nadp			1	0	((((b1033)_OR_(b3553))))	2	1
HSDy	[c] : hom-L + nadp <==> aspsa + h + nadph			1	0	((((b0002)_OR_(b3940))))	2	1
HSK	[c] : atp + hom-L --> adp + h + phom			1	0	((b0003))	1	1
HSST	[c] : hom-L + succoa --> coa + suchms			1	0	((b4013))	1	1
HSTPT	[c] : glu-L + imacp --> akg + hisp			1	0	((b2021))	1	1
Htex	h[e] <==> h[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
HXAND	[c] : h2o + hxan + nad --> h + nadh + xan			1	0	((((b2866_AND_b2867_AND_b2868))))	1	3
HXAtex	hxa[e] <==> hxa[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
HXCT	[c] : accoa + hxa --> ac + hxcoa			1	0	((((b2221_AND_b2222))))	1	2
HXPRT	[c] : hxan + prpp --> imp + ppi			1	0	((((b0125)_OR_(b0238))))	2	1
HYD1pp	(2) h[c] + h2[c] + q8[c] --> (2) h[p] + q8h2[c]			1	0	((((((b0972_AND_b0973_AND_b0974)))_OR_(((b2719_AND_b2720_AND_b2721_AND_b2722_AND_b2723_AND_b2724)))_OR_(((b2994_AND_b2997))))))	3	2
HYD2pp	(2) h[c] + h2[c] + mqn8[c] --> (2) h[p] + mql8[c]			1	0	((((((b0972_AND_b0973_AND_b0974)))_OR_(((b2994_AND_b2997))))))	2	2
HYD3pp	2dmmq8[c] + (2) h[c] + h2[c] --> 2dmmql8[c] + (2) h[p]			1	0	((((((b0972_AND_b0973_AND_b0974)))_OR_(((b2994_AND_b2997))))))	2	2
HYPOE	[c] : h2o + pyam5p --> pi + pydam			1	0		0	0
HYXNtex	hxan[e] <==> hxan[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
HYXNtpp	hxan[p] <==> hxan[c]			1	0		0	0
ICDHyr	[c] : icit + nadp <==> akg + co2 + nadph			1	0	((b1136))	1	1
ICHORS	[c] : chor <==> ichor			1	0	((b2265))	1	1
ICHORSi	[c] : chor --> ichor			1	0	((b0593))	1	1
ICHORT	[c] : h2o + ichor --> 23ddhb + pyr			1	0	((b0595))	1	1
ICL	[c] : icit --> glx + succ			1	0	((b4015))	1	1
IDOND	[c] : 5dglcn + h + nadh <==> idon-L + nad			1	0	((b4267))	1	1
IDOND2	[c] : 5dglcn + h + nadph --> idon-L + nadp			1	0	((b4267))	1	1
IDONt2rpp	h[p] + idon-L[p] <==> h[c] + idon-L[c]			1	0	((b4265))	1	1
IDONtex	idon-L[e] <==> idon-L[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
IG3PS	[c] : gln-L + prlp --> aicar + eig3p + glu-L + h			1	0	((((b2023_AND_b2025))))	1	2
IGPDH	[c] : eig3p --> h2o + imacp			1	0	((b2022))	1	1
IGPS	[c] : 2cpr5p + h --> 3ig3p + co2 + h2o			1	0	((b1262))	1	1
ILEabcpp	atp[c] + h2o[c] + ile-L[p] --> adp[c] + h[c] + ile-L[c] + pi[c]			1	0	((((b3454_AND_b3455_AND_b3456_AND_b3457_AND_b3460))))	1	5
ILEt2rpp	h[p] + ile-L[p] <==> h[c] + ile-L[c]			1	0	((b0401))	1	1
ILETA	[c] : akg + ile-L <==> 3mop + glu-L			1	0	((b3770))	1	1
ILEtex	ile-L[e] <==> ile-L[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
ILETRS	[c] : atp + ile-L + trnaile --> amp + iletrna + ppi			1	0	((b0026))	1	1
IMPC	[c] : h2o + imp <==> fprica			1	0	((b4006))	1	1
IMPD	[c] : h2o + imp + nad --> h + nadh + xmp			1	0	((b2508))	1	1
IMPtex	imp[e] <==> imp[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
INDOLEt2pp	h[c] + indole[c] --> h[p] + indole[p]			1	0	((((b3265_AND_b3266))))	1	2
INDOLEt2rpp	h[p] + indole[p] <==> h[c] + indole[c]			1	0	((b3161))	1	1
INDOLEtex	indole[e] <==> indole[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
INOSTt4pp	inost[p] + na1[p] --> inost[c] + na1[c]			1	0	((b3679))	1	1
INSH	[c] : h2o + ins --> hxan + rib-D			1	0	((b0030))	1	1
INSK	[c] : atp + ins --> adp + h + imp			1	0	((b0477))	1	1
INSt2pp	h[p] + ins[p] --> h[c] + ins[c]			1	0	((b2964))	1	1
INSt2rpp	h[p] + ins[p] <==> h[c] + ins[c]			1	0	((b2406))	1	1
INStex	ins[e] <==> ins[p]			1	0	((b0411))	1	1
INSTtex	inost[e] <==> inost[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
IPDDI	[c] : ipdp <==> dmpp			1	0	((b2889))	1	1
IPDPS	[c] : h + h2mb4p + nadh --> h2o + ipdp + nad			1	0	((b0029))	1	1
IPMD	[c] : 3c2hmp + nad --> 3c4mop + h + nadh			1	0	((b0073))	1	1
IPPMIa	[c] : 3c2hmp <==> 2ippm + h2o			1	0	((((b0071_AND_b0072))))	1	2
IPPMIb	[c] : 2ippm + h2o <==> 3c3hmp			1	0	((((b0071_AND_b0072))))	1	2
IPPS	[c] : 3mob + accoa + h2o --> 3c3hmp + coa + h			1	0	((b0074))	1	1
ISETACabcpp	atp[c] + h2o[c] + isetac[p] --> adp[c] + h[c] + isetac[c] + pi[c]			1	0	((((((b0365_AND_b0366_AND_b0367)))_OR_(((b0933_AND_b0934_AND_b0936))))))	2	3
ISETACtex	isetac[e] <==> isetac[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
K2L4Aabcpp	atp[c] + h2o[c] + kdo2lipid4[c] --> adp[c] + h[c] + kdo2lipid4[p] + pi[c]			1	0	((b0914))	1	1
K2L4Atex	kdo2lipid4[p] --> kdo2lipid4[e]			1	0		0	0
Kabcpp	atp[c] + h2o[c] + k[p] --> adp[c] + h[c] + k[c] + pi[c]			1	0	((((b0696_AND_b0697_AND_b0698))))	1	3
KARA1	[c] : 23dhmb + nadp <==> alac-S + h + nadph			1	0	((b3774))	1	1
KARA2	[c] : 2ahbut + h + nadph <==> 23dhmp + nadp			1	0	((b3774))	1	1
KAS14	[c] : acACP + h + malACP --> ACP + actACP + co2			1	0	((((b1095)_OR_(b2323))))	2	1
KAS15	[c] : accoa + h + malACP --> actACP + co2 + coa			1	0	((b1091))	1	1
KAT1	[c] : aacoa + coa --> (2) accoa			1	0	((((b2342)_OR_(b3845))))	2	1
KAT2	[c] : 3ohcoa + coa --> accoa + btcoa			1	0	((((b2342)_OR_(b3845))))	2	1
KAT3	[c] : 3oocoa + coa --> accoa + hxcoa			1	0	((((b2342)_OR_(b3845))))	2	1
KAT4	[c] : 3odcoa + coa --> accoa + occoa			1	0	((((b2342)_OR_(b3845))))	2	1
KAT5	[c] : 3oddcoa + coa --> accoa + dcacoa			1	0	((((b2342)_OR_(b3845))))	2	1
KAT6	[c] : 3otdcoa + coa --> accoa + ddcacoa			1	0	((((b2342)_OR_(b3845))))	2	1
KAT7	[c] : 3ohdcoa + coa --> accoa + tdcoa			1	0	((((b2342)_OR_(b3845))))	2	1
KAT8	[c] : 3oodcoa + coa --> accoa + pmtcoa			1	0	((((b2342)_OR_(b3845))))	2	1
KDOCT2	[c] : ctp + kdo --> ckdo + ppi			1	0	((b0918))	1	1
KDOPP	[c] : h2o + kdo8p --> kdo + pi			1	0	((b3198))	1	1
KDOPS	[c] : ara5p + h2o + pep --> kdo8p + pi			1	0	((b1215))	1	1
KG6PDC	[c] : 3dhgulnp + h --> co2 + xu5p-L			1	0	((((b3581)_OR_(b4196))))	2	1
Kt2pp	h[p] + k[p] --> h[c] + k[c]			1	0	((((((b1291_AND_b1363_AND_b3290)))_OR_(((b1291_AND_b3290_AND_b3849)))_OR_(b1250)_OR_(b3747))))	4	1
Kt3pp	h[p] + k[c] --> h[c] + k[p]			1	0	((((b0047)_OR_(b0842)_OR_(b1216)_OR_(b3350))))	4	1
Ktex	k[e] <==> k[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
LA4NTpp	[p] : colipa + uLa4n --> acolipa + udcpp			1	0	((b2257))	1	1
LACZ	[c] : h2o + lcts --> gal + glc-D			1	0	((b0344))	1	1
LACZpp	[p] : h2o + lcts --> gal + glc-D			1	0	((b2132))	1	1
LADGMDH	[c] : LalaDgluMdap + h2o --> 26dap-M + LalaDglu			1	0	((b1326))	1	1
LALDO2x	[c] : h + mthgxl + nadh --> lald-D + nad			1	0	((b3945))	1	1
LALGP	[c] : LalaLglu + h2o --> ala-L + glu-L			1	0	((b0237))	1	1
LCADi	[c] : h2o + lald-L + nad --> (2) h + lac-L + nadh			1	0	((b1415))	1	1
LCARR	[c] : h + lald-D + nadh <==> 12ppd-R + nad			1	0		0	0
LCARS	[c] : h + lald-L + nadh <==> 12ppd-S + nad			1	0	((b2799))	1	1
LCTSt3ipp	h[p] + lcts[c] --> h[c] + lcts[p]			1	0	((((b0070)_OR_(b1528)_OR_(b2170))))	3	1
LCTStex	lcts[e] <==> lcts[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
LCTStpp	h[p] + lcts[p] <==> h[c] + lcts[c]			1	0	((b0343))	1	1
LDH_D	[c] : lac-D + nad <==> h + nadh + pyr			1	0	((((b1380)_OR_(b2133))))	2	1
LDH_D2	[c] : lac-D + q8 --> pyr + q8h2			1	0	((b2133))	1	1
LEUabcpp	atp[c] + h2o[c] + leu-L[p] --> adp[c] + h[c] + leu-L[c] + pi[c]			1	0	((((((b3454_AND_b3455_AND_b3456_AND_b3457_AND_b3458)))_OR_(((b3454_AND_b3455_AND_b3456_AND_b3457_AND_b3460))))))	2	5
LEUt2rpp	h[p] + leu-L[p] <==> h[c] + leu-L[c]			1	0	((b0401))	1	1
LEUTAi	[c] : 4mop + glu-L --> akg + leu-L			1	0	((((b3770)_OR_(b4054))))	2	1
LEUtex	leu-L[e] <==> leu-L[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
LEUTRS	[c] : atp + leu-L + trnaleu --> amp + leutrna + ppi			1	0	((b0642))	1	1
LGTHL	[c] : gthrd + mthgxl --> lgt-S			1	0	((b1651))	1	1
LIPAabcpp	atp[c] + h2o[c] + lipa[c] --> adp[c] + h[c] + lipa[p] + pi[c]			1	0	((b0914))	1	1
LIPACabcpp	atp[c] + h2o[c] + lipa_cold[c] --> adp[c] + h[c] + lipa_cold[p] + pi[c]			1	0	((b0914))	1	1
LIPAHT2ex	[e] : colipa + h + hdca --> h2o + hacolipa			1	0	((b0622))	1	1
LIPAHTex	[e] : h + hdca + lipa --> h2o + halipa			1	0	((b0622))	1	1
LIPAtex	lipa[p] --> lipa[e]			1	0		0	0
L-LACD2	[c] : lac-L + q8 --> pyr + q8h2			1	0	((b3605))	1	1
L-LACD3	[c] : lac-L + mqn8 --> mql8 + pyr			1	0	((b3605))	1	1
L-LACt2rpp	h[p] + lac-L[p] <==> h[c] + lac-L[c]			1	0	((((b2975)_OR_(b3603))))	2	1
L-LACtex	lac-L[e] <==> lac-L[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
LPADSS	[c] : lipidX + u23ga --> h + lipidAds + udp			1	0	((b0182))	1	1
LPLIPAL1A120pp	[p] : 1ddecg3p + h2o --> ddca + glyc3p + h			1	0	((b0494))	1	1
LPLIPAL1A140pp	[p] : 1tdecg3p + h2o --> glyc3p + h + ttdca			1	0	((b0494))	1	1
LPLIPAL1A141pp	[p] : 1tdec7eg3p + h2o --> glyc3p + h + ttdcea			1	0	((b0494))	1	1
LPLIPAL1A160pp	[p] : 1hdecg3p + h2o --> glyc3p + h + hdca			1	0	((b0494))	1	1
LPLIPAL1A161pp	[p] : 1hdec9eg3p + h2o --> glyc3p + h + hdcea			1	0	((b0494))	1	1
LPLIPAL1A180pp	[p] : 1odecg3p + h2o --> glyc3p + h + ocdca			1	0	((b0494))	1	1
LPLIPAL1A181pp	[p] : 1odec11eg3p + h2o --> glyc3p + h + ocdcea			1	0	((b0494))	1	1
LPLIPAL1E120pp	[p] : 1agpe120 + h2o --> ddca + g3pe + h			1	0	((b0494))	1	1
LPLIPAL1E140pp	[p] : 1agpe140 + h2o --> g3pe + h + ttdca			1	0	((b0494))	1	1
LPLIPAL1E141pp	[p] : 1agpe141 + h2o --> g3pe + h + ttdcea			1	0	((b0494))	1	1
LPLIPAL1E160pp	[p] : 1agpe160 + h2o --> g3pe + h + hdca			1	0	((b0494))	1	1
LPLIPAL1E161pp	[p] : 1agpe161 + h2o --> g3pe + h + hdcea			1	0	((b0494))	1	1
LPLIPAL1E180pp	[p] : 1agpe180 + h2o --> g3pe + h + ocdca			1	0	((b0494))	1	1
LPLIPAL1E181pp	[p] : 1agpe181 + h2o --> g3pe + h + ocdcea			1	0	((b0494))	1	1
LPLIPAL1G120pp	[p] : 1agpg120 + h2o --> ddca + g3pg + h			1	0	((b0494))	1	1
LPLIPAL1G140pp	[p] : 1agpg140 + h2o --> g3pg + h + ttdca			1	0	((b0494))	1	1
LPLIPAL1G141pp	[p] : 1agpg141 + h2o --> g3pg + h + ttdcea			1	0	((b0494))	1	1
LPLIPAL1G160pp	[p] : 1agpg160 + h2o --> g3pg + h + hdca			1	0	((b0494))	1	1
LPLIPAL1G161pp	[p] : 1agpg161 + h2o --> g3pg + h + hdcea			1	0	((b0494))	1	1
LPLIPAL1G180pp	[p] : 1agpg180 + h2o --> g3pg + h + ocdca			1	0	((b0494))	1	1
LPLIPAL1G181pp	[p] : 1agpg181 + h2o --> g3pg + h + ocdcea			1	0	((b0494))	1	1
LPLIPAL2A120	[c] : 2ddecg3p + h2o --> ddca + glyc3p + (2) h			1	0	((b3825))	1	1
LPLIPAL2A140	[c] : 2tdecg3p + h2o --> glyc3p + (2) h + ttdca			1	0	((b3825))	1	1
LPLIPAL2A141	[c] : 2tdec7eg3p + h2o --> glyc3p + (2) h + ttdcea			1	0	((b3825))	1	1
LPLIPAL2A160	[c] : 2hdecg3p + h2o --> glyc3p + (2) h + hdca			1	0	((b3825))	1	1
LPLIPAL2A161	[c] : 2hdec9eg3p + h2o --> glyc3p + (2) h + hdcea			1	0	((b3825))	1	1
LPLIPAL2A180	[c] : 2odecg3p + h2o --> glyc3p + (2) h + ocdca			1	0	((b3825))	1	1
LPLIPAL2A181	[c] : 2odec11eg3p + h2o --> glyc3p + (2) h + ocdcea			1	0	((b3825))	1	1
LPLIPAL2ATE120	[c] : 2agpe120 + pg120 --> apg120 + g3pe			1	0	((b3825))	1	1
LPLIPAL2ATE140	[c] : 2agpe140 + pg140 --> apg140 + g3pe			1	0	((b3825))	1	1
LPLIPAL2ATE141	[c] : 2agpe141 + pg141 --> apg141 + g3pe			1	0	((b3825))	1	1
LPLIPAL2ATE160	[c] : 2agpe160 + pg160 --> apg160 + g3pe			1	0	((b3825))	1	1
LPLIPAL2ATE161	[c] : 2agpe161 + pg161 --> apg161 + g3pe			1	0	((b3825))	1	1
LPLIPAL2ATE180	[c] : 2agpe180 + pg180 --> apg180 + g3pe			1	0	((b3825))	1	1
