KEGG, CAS,PubChem,ChEBI,NIKKAJI,PDB-CCD,KNApSAcK,3DMET,LIPIDMAPS,GlycomeDB,CCSD,JCGGDB,LipidBank
C06172, ,8423,7510,J1.972.242B, , ,B05171, , , , , 
C06173,115-37-7,8424,9519,J5.266C, ,C00001924,B01980, , , , , 
G09952, , , , , , , , ,23991,8291,JCGG-STR015059, 
G09953, , , , , , , , ,2343,14037,JCGG-STR014460, 
G09958, , , , , , , , ,23995,50758,JCGG-STR015063, 
G09959, , , , , , , , ,1411,41603,JCGG-STR004478, 
C06178,16032-02-3,8429,27435,J493.544F, ,C00034612,B00914, , , , , 
C06179,496-49-1,8430,46750,J6.093C, ,C00002046,B01985, , , , , 
C19264,129-15-7,124489936,82345, , , , , , , , , 
C03529, ,6336, , , , , , , , , , 
C03526, ,6334,16025, , , , , , , , , 
C03527, ,6335,18015,J45.860K, , , , , , , , 
C03524, ,6332,28147,J2.742.957B, , , , , , , , 
C03525, ,6333,28879,J2.742.962I, , ,B04901, , , , , 
C03522, ,6330,7308,J139.221B, , , , , , , , 
C03523, ,6331, , , , , , , , , , 
C03521, ,6329,28255,J2.742.954H, , , , , , , , 
C17031,28387-43-1,96023510,80873,J34.254H, , , , , , , , 
C06452, ,8685,1171,J436.958K,S0H, ,B05195, , , , , 
G02377, , , , , , , , ,18745,30310|41714,JCGG-STR009418, 
G12419, , , , , , , , ,24887,3500,JCGG-STR016006, 
G04372, , , , , , , , ,20114,28376,JCGG-STR010908, 
G04371, , , , , , , , ,20113,30077,JCGG-STR010907, 
G04370, , , , , , , , ,20112,28375,JCGG-STR010906, 
G04377, , , , , , , , ,17307,7808,JCGG-STR007855, 
G04376, , , , , , , , ,20118,36033,JCGG-STR010912, 
G04375, , , , , , , , ,20117,7081,JCGG-STR010911, 
G04374, , , , , , , , ,20116,6948,JCGG-STR010910, 
G12411, , , , , , , , , ,1839|46225, , 
G12410, , , , , , , , ,24881,650|651,JCGG-STR016001, 
G12413, , , , , , , , ,24883,44414, , 
G04378, , , , , , , , ,20119,4971,JCGG-STR010913, 
G12415, , , , , , , , ,24884,29027,JCGG-STR016003, 
G12417, , , , , , , , ,24886,47155,JCGG-STR016005, 
G12416, , , , , , , , ,24885,8984|14062,JCGG-STR016004, 
C13624,80-05-7,586242,33216,J3.531I,2OH, , , , , , , 
C13625,13464-24-9,586243,31129,J53.476E, , , , , , , , 
C13626,79371-66-7,586244,31133,J1.523.571C, , , , , , , , 
C13620,79-94-7,586238,33217,J3.530K,XDI, , , , , , , 
C13621,6386-73-8,586239,33218,J207.000F, , , , , , , , 
C13622,29426-78-6,586240,33219,J642.606I, , , , , , , , 
C13623,11/6/6073,586241,33220,J1.508.770F, , , , , , , , 
C13628,163405-36-5,586245,31124,J667.193D, , , , , , , , 
C13629,154928-56-0,586246,31035,J1.608.543J, , , , , , , , 
C02699, ,5663,28231, , , , , , , , , 
C02695, ,5662,6025, , , , , , , , , 
C02693,879-37-8,5661,16031,J128.124K,TSR,C00000108,B00485, , , , , 
C02692, ,5660,5711,J2.739.421C,149|LGC, , , , , , , 
C02691, ,5659,11222,J2.739.420E, , ,B00484, , , , , 
C19479,156-10-5,124490151,82509, , , , , , , , , 
C19478,71267-22-6,124490150,82508, , , , , , , , , 
C19473,92-93-3,124490145,82504, , , , , , , , , 
C19472,63041-90-7,124490144,82503, , , , , , , , , 
C19471,20268-51-3,124490143,82502, , , , , , , , , 
C19470,602-60-8,124490142,82501, , , , , , , , , 
C19477,37620-20-5,124490149,82507, , , , , , , , , 
C19476,789-07-1,124490148,82506, , , , , , , , , 
C19475,20589-63-3,124490147,82505, , , , , , , , , 
C19474,581-89-5,124490146,50637, , , , , , , , , 
C11668, ,13833,2258,J1.282.675C, , ,B04299,LMPR0102070033, , , , 
C11669, ,13834,4459,J2.775.780D, , ,B04300,LMPR0102070034, , , , 
C11666, ,13831,716,J2.775.776F, , ,B04297,LMPR0102070031, , , , 
C11667, ,13832,2327,J2.775.778B, , ,B04298,LMPR0102070032, , , , 
C11664, ,13829,694,J1.298.824I, , , , , , , , 
C11665, ,13830,2259,J2.775.775H, , , , , , , , 
C11662, ,13827,2262,J2.775.764B, , ,B04295,LMPR0102070029, , , , 
C11663,20586-11-2,13828,6514,J129.087H, , ,B04296,LMPR0102070030, , , , 
C11660, ,13825,706,J778.645J, , , , , , , , 
C11661, ,13826,2261,J690.472F, ,C00036652, , , , , , 
C15969, ,47205282,63067,J856.112E, ,C00000932, , , , , , 
C15968, ,47205281,80217,J652.204A, ,C00000917, ,LMPR01070016, , , , 
C15961, ,47205274,80210,J2.799.777E, , , , , , , , 
C15960, ,47205273,80209,J1.514.119K, , , , , , , , 
C15963, ,47205276,80212,J2.799.792I, , , , , , , , 
C15962, ,47205275,80211,J2.799.778C, , , , , , , , 
C15965, ,47205278,80214,J651.142B, , , ,LMPR01070098, , , , 
C15964, ,47205277,80213,J2.799.806B, , , , , , , , 
C15967, ,47205280,80216,J652.203C, , , ,LMPR01070096, , , , 
C15966, ,47205279,80215,J652.597K, , , ,LMPR01070097, , , , 
C09826,548-82-3,12014,28103,J257.661I, ,C00000991,B03305, , , , , 
C02319, ,5372,8740, , , , , , , , , 
C02314,4510-16-1,5368,28922,J20.420J, , ,B01560,LMFA03010025, , , ,XPR1764
C02315, ,5369,17999, , , , , , , , , 
C07798,511-12-6,10000,4562,J6.263D,2GM, , , , , , , 
C02311, ,5365,35410, , , , , , , , , 
G09187, , , , , , , , ,23509,5057,JCGG-STR014548, 
G09186, , , , , , , , ,23508,24702,JCGG-STR014547, 
C11088,106-93-4,13270,28534,J4.038J, , , , , , , , 
C11089,7572-29-4,13271,4503,J33.811G, , , , , , , , 
G09183, , , , , , , , ,23505,266,JCGG-STR014544, 
G09182, , , , , , , , ,9316,28424,JCGG-STR030615, 
G09181, , , , , , , , ,23504,14971,JCGG-STR014543, 
G09180, , , , , , , , ,23503,30699,JCGG-STR014542, 
C11082,85438-98-8,13264,1221,J2.788.528D, , , , , , , , 
C11083,81405-85-8,13265,2894,J635.005D, , , , , , , , 
C11080,15263-53-3,13262,3436,J9.237A, , , , , , , , 
C11081,759-94-4,13263,4738,J6.966C, , , , , , , , 
C11086,2212-67-1,13268,6964,J1.802C, , , , , , , , 
C11087,34622-58-7,13269,7778,J1.029D, , , , , , , , 
C11084,62850-32-2,13266,5006,J134.907D, , , , , , , , 
C11085,103614-75-1,13267,5007,J2.788.529B, , , , , , , , 
G07053, , , , , , , , ,21988,42499,JCGG-STR012910, 
G07051, , , , , , , , ,11338,12277,JCGG-STR001472, 
G07050, , , , , , , , ,21987,23760,JCGG-STR012909, 
G07057, , , , , , , , ,21990,27603,JCGG-STR012913, 
G07056, , , , , , , , ,21989,8745,JCGG-STR012911, 
G07055, , , , , , , , ,12974,50848,JCGG-STR003227, 
G07059, , , , , , , , ,21991,31233,JCGG-STR012914, 
G07058, , , , , , , , ,11967,26051,JCGG-STR002145, 
C20208, ,163311951, , , , , , , , , , 
C20209,497-59-6,163311952, , , , , , , , , , 
G08274, , , , , , , , ,22880,49021,JCGG-STR013871, 
G08275, , , , , , , , , ,39553, , 
G08272, , , , , , , , ,22878,40420,JCGG-STR013868, 
G08273, , , , , , , , ,22879,40411,JCGG-STR013869, 
G08270, , , , , , , , ,22876,290,JCGG-STR013866, 
G08271, , , , , , , , ,22877,342,JCGG-STR013867, 
C20200, ,163311943, , , , , , , , , , 
C20201,88899-61-0,163311944, , , ,C00000536, , , , , , 
C20202, ,163311945, , ,BRA, , , , , , , 
C20203,205687-01-0,163311946, , , , , , , , , , 
C20204,100477-88-1,163311947, , , ,C00031763, , , , , , 
C20205,179094-52-1,163311948, , , , , , , , , , 
C20206,644-61-1,163311949, , , , , , , , , , 
C20207,63861-11-0,163311950, , , ,C00000293, , , , , , 
G07945, , , , , , , , ,22629,49164,JCGG-STR013597, 
G07944, , , , , , , , ,22628,28210,JCGG-STR013596, 
G07947, , , , , , , , ,22631,49160,JCGG-STR013600, 
G07946, , , , , , , , ,22630,49162,JCGG-STR013599, 
G07940, , , , , , , , , ,28396, , 
G07943, , , , , , , , ,22627,28223,JCGG-STR013595, 
G07942, , , , , , , , ,22626,28222,JCGG-STR013594, 
G07949, , , , , , , , , ,25200, , 
G07948, , , , , , , , ,22632,49168,JCGG-STR013601, 
G06098, , , , , , , , , ,13271, , 
G06099, , , , , , , , ,21294,19086,JCGG-STR012171, 
G02539, , , , , , , , ,18873,14653|34414,JCGG-STR009559, 
G02538, , , , , , , , ,18872,10323|10326,JCGG-STR009558, 
G06090, , , , , , , , ,21288,10762,JCGG-STR012164, 
G02532, , , , , , , , ,18868,31172|31175,JCGG-STR009553, 
G06092, , , , , , , , ,21290,25267,JCGG-STR012167, 
G06093, , , , , , , , ,21291,1036|11952|25085|43954,JCGG-STR012168, 
G06094, , , , , , , , ,6643,34364,JCGG-STR027726, 
G02536, , , , , , , , ,18871,23731|45844,JCGG-STR009557, 
G06096, , , , , , , , ,21292,5030,JCGG-STR012169, 
G02534, , , , , , , , ,18869,3424|3425|3426|3432|17930,JCGG-STR009554, 
G05549, , , , , , , , ,20898,39485, , 
G05548, , , , , , , , ,20897,39484, , 
G05543, , , , , , , , ,11430,16873,JCGG-STR001564, 
G05542, , , , , , , , ,20895,20095,JCGG-STR011745, 
G05541, , , , , , , , ,20894,21818,JCGG-STR011744, 
G05540, , , , , , , , ,10218,1064,JCGG-STR000246, 
G05547, , , , , , , , ,8002,24883,JCGG-STR029182, 
G05546, , , , , , , , ,8003,24884,JCGG-STR029183, 
G05545, , , , , , , , ,8242,29366,JCGG-STR029447, 
G05544, , , , , , , , ,20896,15802,JCGG-STR011746, 
G04638, , , , , , , , ,8992,40571,JCGG-STR030259,GSG1043
G04639, , , , , , , , ,10541,1427,JCGG-STR000603, 
G04632, , , , , , , , ,12889,1329,JCGG-STR003132,GSG1301
G04633, , , , , , , , ,9753,1322,JCGG-STR031078,GSG1095
G04630, , , , , , , , ,3787,33615,JCGG-STR024689, 
G04631, , , , , , , , ,20283,4964,JCGG-STR011094, 
G04636, , , , , , , , ,20286,16963,JCGG-STR011097, 
G04637, , , , , , , , ,8991,36392,JCGG-STR030258, 
G04634, , , , , , , , ,20284,11758,JCGG-STR011095, 
G04635, , , , , , , , ,20285,24953,JCGG-STR011096, 
G11838, , , , , , , , ,3485, ,JCGG-STR024371, 
G11839, , , , , , , , ,3550, ,JCGG-STR024438, 
G11836, , , , , , , , ,5862, ,JCGG-STR026888, 
G11837, , , , , , , , ,16204,43865,JCGG-STR006711, 
G11834, , , , , , , , ,3480, ,JCGG-STR024367, 
G11835, , , , , , , , ,33525, , , 
G11832, , , , , , , , ,33524, , , 
C18463,158062-67-0,124489137,39291, , , , , , , , , 
C18462,131341-86-1,124489136,81763, , , , , , , , , 
C18461,114369-43-6,124489135,81762, , , , , , , , , 
C18460,2593-15-9,124489134,81761, , , , , , , , , 
G01046, , , , , , , , ,12777,13445|23281|33307|33309|33310,JCGG-STR003020, 
C18466,79983-71-4,124489140,81766, , , , , , , , , 
C18465,56425-91-3,124489139,81765, , , , , , , , , 
C18464,239110-15-7,124489138,81764, , , , , , , , , 
G01048, , , , , , , , ,17883,2303|10100|23534|25772|44732|47285,JCGG-STR008474, 
C18468,86598-92-7,124489142,81767, , , , , , , , , 
G00395, , , , , , , , ,3968,464|465|466|467|469|2505|2506|3517|4840|4841|4843|4844|5684|7742|8321|8721|8885|9953|10366|10566|10877|11133|11797|12405|12947|13773|13797|13798|13826|13896|13954|14150|14191|14890|15126|15294|15845|16107|16167|16599|16642|17078|17492|17667|18740|18741|19013|19456|19510|19512|19603|19834|20642|20859|20918|20946|21045|21130|21889|22061|22266|22781|22825|23155|24320|24543|24794|25163|25230|25478|25711|25803|25887|26474|27516|27523|27538|27579|27607|28267|28791|28829|28979|29013|29191|29224|29236|29246|30002|30297|30867|32076|33028|33164|33709|33868|34615|35060|35965|36443|38302|38306|40400|40410|41531|43455|43512|43546|44282|46382|47081|50257,JCGG-STR024885, 
G00394, , , , , , , , ,17486,2065|2970|3919|5418|5419|5420|5421|5422|5423|19038|22760|23816|25112|25600|36430|41716|41979|42752|46756,JCGG-STR008048, 
G00397, , , , , , , , ,17488,930|2675|3723|3724|3731|8840|8841|9069|9947|11731|11732|12153|12194|13256|13887|14370|15644|16320|16606|16634|17668|17669|19675|21413|23563|28816|33741|36484|41525,JCGG-STR008049, 
G00396, , , , , , , , ,17487,19951|19991|30618|31647|31952|32388|35378|39597|40427|40696|40970|41202|41761|41843|43275|43279|43280|43281|43282|44932|45282|45686|47624|49669, , 
G00391, , , , , , , , ,17484,935|936|2646|2652|5205|8010|13878|13986|15954|16102|16637|17875|18245|23386|23851|24337|28830|29205|29240|30011|33021|35056|38682|44295|46894,JCGG-STR008046, 
G00390, , , , , , , , ,3803,1250|11604|16706|17005|17018|18170|19222|19225|20332|20343|22180|22189|22201|26851|27848|28511|35287|35441|35985|37246|37270|37650|38295|42775|48907,JCGG-STR024707,GSG0079|GSG1349|GSG3030|GSG3031
G00393, , , , , , , , ,17485,1720|1724|2869|3861|3863|7104|8115|8117|8118|8119|8121|8124|11308|11322|12138|22197|23767|24006|24926|34717|38506|39497|40706|41966|41994|42189|46754,JCGG-STR008047, 
G00392, , , , , , , , ,613,513|527|6604|8570|10989|12380|12381|14546|15634|15641|16140|16274|16341|17116|17705|18902|21521|22262|23025|27916|33732|36162|45296,JCGG-STR027175,GSG1155
G00399, , , , , , , , ,17490,3044|3364|3388|9994|14092|16240|18855|20012|20874|21448|24806|28977|30257|32923|33474|34997|36187|38655|39500|40602|42742|46421|47161|47602,JCGG-STR008051, 
G00398, , , , , , , , ,17489,218|10189|14166|15874|18343|18718|18874|19480|19949|19993|21456|22120|23779|29806|30609|31064|31784|39490|39600|40455|41844|42395, , 
C09577,65388-17-2,11768,9960,J20.180D, ,C00003385,B03096, , , , , 
C09576,21871-10-3,11767,9959,J15.973E, ,C00003384,B03095, , , , , 
C09575,69735-28-0,11766,29,J18.958H, ,C00001882,B03094, , , , , 
C09574,16983-23-6,11765,9956,J14.131C, ,C00003383,B03093, , , , , 
C09573,17627-78-0,11764,6536,J9.104I, ,C00001881,B03092, , , , , 
C09572,52677-96-0,11763,9906,J82.077F, ,C00003382,B03091, , , , , 
C09571,19485-63-3,11762,6535,J15.900J, ,C00001880,B05362, , , , , 
C09570,2571-22-4,11761,9783,J9.962G, ,C00003381,B03090, , , , , 
C09579,57576-33-7,11770,9962,J14.153D, ,C00003387,B03098, , , , , 
C09578,57576-43-9,11769,9961,J14.154B, ,C00003386,B03097, , , , , 
G11300, , , , , , , , ,279, ,JCGG-STR019256, 
G11301, , , , , , , , ,281, ,JCGG-STR019472, 
G11302, , , , , , , , ,725, ,JCGG-STR028366, 
G11303, , , , , , , , ,725, ,JCGG-STR028366, 
G11304, , , , , , , , ,24386, ,JCGG-STR015485, 
G11305, , , , , , , , ,24386, ,JCGG-STR015485, 
G11306, , , , , , , , ,24387, ,JCGG-STR015486, 
G11307, , , , , , , , ,24387, ,JCGG-STR015486, 
G11308, , , , , , , , ,24388, ,JCGG-STR015487, 
G11309, , , , , , , , ,24388, ,JCGG-STR015487, 
G00029, , , , , , , , ,3125,33575|46430,JCGG-STR022149, 
G00028, , , , , , , , ,483, ,JCGG-STR025794, 
G00023, , , , , , , , ,476,6|7|2185|2186|2187|5034|30785|30918|31592|32839|32957|33178|33218|33468|33887|33913|34825|34838|34841|34951|34985|35031|35036|35106|35261|35803|35831|35944|35992|36237|36249|37727|37922|37939|37952|38122|38186|38187|38193|38194|38196|38197|38206|38208|38561|38638|38698|39379|41864|42380|42739|42792|43916|43918|43948|44243|44374|44492|44493|45638|45778|45890|46467|46557|46860|47328|47385|48045|48233|48245|48407|48408|48409|49041|49508|49665|50280|50465|50468,JCGG-STR025718, 
G00022, , , , , , , , ,8101,30031,JCGG-STR029292, 
G00021, , , , , , , , ,1648,7728|12812|30030|42026|43247|47825,JCGG-STR006994, 
G00020, , , , , , , , ,1646,4362|5058|7636|30028|33048|34937|35723|42024|43245,JCGG-STR006972, 
G00027, , , , , , , , ,534,600|601|602|604|605|606|607|608|610|611|612|3749|4200|4672|5161|5215|6813|7930|7941|7942|7948|7951|7953|8011|8012|8013|8014|8015|8016|8017|8018|8019|9121|13281|13571|14271|14272|18996|21557|22442|22443|22747|22750|23361|24978|29113|30507|32382|32428|32429|35081|35742|35990|36195|40320|41469|42351|42377|44021|46409|46758|46759|46760|46761|46762|46763|46764|46765|46766|47200|48731,JCGG-STR026341, 
G00026, , , , , , , , ,458,262|263|265|5185|5186|5207|6812|7887|7889|7895|7973|7980|9120|10716|11752|11808|11809|20286|24979|28181|29174|29484|30519|30790|30865|31656|32381|33078|33773|33950|36235|36455|40726|42378|47201,JCGG-STR025535, 
G00025, , , , , , , , ,802,2453|23753|35109|35110|46429,JCGG-STR029201, 
G00024, , , , , , , , ,475,98|99|100|2225|2236|2237|2238|2239|2240|2241|2242|2243|3406|5035|5038|5887|14321|18613|25363|27572|28182|29046|29092|29175|29393|29521|29554|30734|30735|30848|30849|30850|30917|32646|33022|33851|33878|33952|34823|34829|34986|34995|35029|35050|35107|35108|35805|35833|35991|36236|36826|36863|37982|38587|38640|38672|42797|43915|44029|44775|45346|46438|46466|47186|48015|48891|49283|49293|50466|50469|50477,JCGG-STR025711, 
G07558, , , , , , , , ,22343,22165,JCGG-STR013291, 
G07559, , , , , , , , ,22344,26037,JCGG-STR013292, 
G07552, , , , , , , , ,22340,2347, , 
G07553, , , , , , , , ,22341,31566,JCGG-STR013289, 
G07550, , , , , , , , ,16408,33717,JCGG-STR006925, 
G07551, , , , , , , , ,22339,19792|24503,JCGG-STR013287, 
G07556, , , , , , , , ,10014,6817,JCGG-STR000020, 
G07554, , , , , , , , ,22342,12647,JCGG-STR013290, 
G07555, , , , , , , , , ,37901, , 
C16854,59392-53-9,135626061, , , , , , , , , , 
C16855,60748-39-2,96023376,80768,J55.606H, , , , , , , , 
C16856,60508-89-6,96023377,80769,J55.607F, , , , , , , , 
C16857,79580-28-2,96023378,80770,J391.559J, ,C00042301, , , , , , 
C16850, ,96023374,51282,J2.805.603F, , , , , , , , 
C16851,11077-03-5,135626060, , , , , , , , , , 
C16852,123676-76-6,96023375,68281,J1.060.392G, , , , , , , , 
C16858,50299-47-3,96023379,80771,J10.326H, ,C00035721, , , , , , 
C16859,104715-93-7,96023380,80772,J2.136.028G|J636.858A, ,C00043734, , , , , , 
C03052, ,5955,16965,J2.740.498G, , , , , , , , 
C02905, ,5832,29188, , , , , , , , , 
C02904,91739-72-9,5831, ,J309.978D, ,C00000148,B04868, , , , , 
C02903, ,5830,27390, , , , , , , , , 
C02900, ,5829, , , , , , , , , , 
C15307, ,17396304,79809,J2.793.773J, , , , , , , , 
C02909,1592-38-7,5834,27615,J149.365E,2NA, , , , , , , 
C15306, ,17396303,79808,J337.157C, , , , , , , , 
C03056,626-06-2,5956,17681,J58.008B, , ,B00531, , , , , 
C15300, ,17396297,79802,J146.160E, , , , , , , , 
C10349,14101-04-3,12535,5168,J216.865K, ,C00002825,B03764, , , , , 
C10343,518-82-1,12529,42223,J6.587K,EMO,C00000555,B03758,LMPK13040008, , , , 
C07247,106650-56-0,9456,9137,J247.963J, , , , , , , , 
C03177, ,6059,9279,J2.741.275K, , , , , , , , 
C17819, ,163311833, , , ,C00041562, , , , , , 
C17818, ,163311832, , , ,C00047904, , , , , , 
C17817, ,163311831, , , ,C00000714, , , , , , 
C17816,60546-10-3,163311830, , , ,C00000713, , , , , , 
C17815, ,172232236, , , , , , , , , , 
C17814,58546-55-7,96024118,81352,J305.298B, ,C00007217, , , , , , 
C17813, ,103061380,81351, , , , , , , , , 
C17812, ,96024117,81350,J2.403.588C, ,C00030637, , , , , , 
C17811,35688-09-6,96024116,81349,J269.595B, , , , , , , , 
C17810,481-73-2,96024115,81348,J13.188A, ,C00032090, , , , , , 
C00413,57-92-1,3703,17076,J4.500D,SRY, ,B01239, , , , , 
C00412,362-66-3,3702,15541,J426.067H,ST9, ,B04680,LMFA07050004, , , , 
C00411,54429-80-0,3701,15540, , ,C00007283,B04679, , , , , 
C00410,57-83-0,3700,17026,J2.329I,STR,C00034649,B01238,LMST02030159, , , , 
C00417,585-84-2,3707,32805,J37.488A, ,C00001177,B00107, , , , , 
C00416, ,3706,16337, , , , ,LMGP10010000, , , , 
C00415,4033-27-6,3705,15633,J373.767E,DHF,C00007248,B01240, , , , , 
C00414,108-94-1,3704,17854,J2.872J,CYH, ,B00106, , , , , 
C00419, ,3709,15986, , , , , , , , , 
C00418,17817-88-8,3708,17710|36464,J5.859I,MEV,C00001195,B01241,LMFA01050352, , , , 
G10826, , , , , , , , ,2861,38437|38559|42603|45009,JCGG-STR019994, 
G10824, , , , , , , , ,3684,7734,JCGG-STR024576, 
G10825, , , , , , , , ,13408,7748|30806|35017|47412,JCGG-STR003700, 
C00217,6893-26-1,3517,15966,J9.214B,DGL|FGA,C00019577,B01192, , , , , 
G10820, , , , , , , , ,9167,7700|30807,JCGG-STR030450, 
C00216,10323-20-3,3516,17108|46994,J15.056H, , ,B04650, , , , , 
C07968,90-89-1,10169,4527,J4.329J, , , , , , , , 
C00935, ,4187,17983,J1.270.526C, , ,B04751, , , , , 
C06114, ,8376,28092,J2.761.127C, , ,B01974, , , , , 
C00933,18696-26-9,4185,16353,J7.403I, ,C00002777,B00203, , , , , 
C03290,6254-48-4,6147,16795,J36.240I,H14, , , , , , , 
C03291, ,6148,16593,J652.281E, , ,B04887, , , , , 
C03292, ,6149,6765,J2.741.522I, , , , , , , , 
C03293, ,6150,17469,J2.741.523G, , , , , , , , 
C03294, ,6151,17119, , , , , , , , , 
C09639,3856-25-5,11829,10221,J9.607E, ,C00003118,B05367, , , , , 
C03296, ,6152,17705,J2.741.529F,SUG, ,B00575, , , , , 
C03297, ,6153,32965, , , , , , , , , 
C09634,73609-04-8,11824,8912,J11.917B, ,C00001913|C00024767,B03148, , , , , 
C09635,19912-83-5,11825,10220,J16.610C, ,C00003115,B03149, , , , , 
C09636,89289-91-8,11826,4536,J146.600C, ,C00008768,B03150, , , , , 
C09637,18431-82-8,11827,10359,J15.414H, ,C00003116,B03151, , , , , 
C09630,469-61-4,11820,10216,J5.927G, ,C00003111,B05366,LMPR0103690006, , , , 
C09631,77-53-2,11821,10217,J9.890F, ,C00003112,B03145,LMPR0103690007, , , , 
C09632,57308-24-4,11822,3531,J243.894A, ,C00003113,B03146, , , , , 
C09633,529-05-5,11823,3573,J9.436F, ,C00003114,B03147,LMPR0103410002, , , , 
C06112, ,8374,29165, , , , , , , , , 
C06113, ,8375,29151, , , , , , , , , 
G01609, , , , , , , , ,18226,9979|9981|9982,JCGG-STR008850, 
C14548,115217-05-5,17395548,34013,J453.992C, , , , , , , , 
C14549,791-31-1,17395549,35035,J48.154H, , , , , , , , 
C14544, ,17395544,34015,J445.209G, , , , , , , , 
C14545,115217-04-4,17395545,34021,J398.543A, , , , , , , , 
C14546,115217-03-3,17395546,34012,J398.542C, , , , , , , , 
C14547,115217-06-6,17395547,34022,J453.993A, , , , , , , , 
C14540,13553-79-2,17395540,34948,J53.948A, , , , , , , , 
C14541, ,17395541, ,J448.136D, , , , , , , , 
C14542, ,17395542, ,J988.509I, , , , , , , , 
C14543, ,17395543,34010,J2.788.550K, , , , , , , , 
G08078, , , , , , , , ,22725,47150,JCGG-STR013702, 
G08079, , , , , , , , ,22726,22691,JCGG-STR013703, 
G08070, , , , , , , , , ,28445, , 
G08071, , , , , , , , ,22719,3615,JCGG-STR013695, 
G08072, , , , , , , , ,22720,31423,JCGG-STR013697, 
G08073, , , , , , , , ,22721,42461,JCGG-STR013698, 
G08074, , , , , , , , ,6047,37848,JCGG-STR027084, 
G08075, , , , , , , , ,22722,26794|26795,JCGG-STR013699, 
G08076, , , , , , , , ,22723,23328,JCGG-STR013700, 
G08077, , , , , , , , ,22724,28903,JCGG-STR013701, 
C04419, ,7051, , , , , , , , , , 
C04418,8/1/3786,7050,28253,J207.953D, , , , , , , , 
C04417, ,7049,27970, , , , , , , , , 
C01420,923-32-0,4607,17376,J237.163D, , , , , , , , 
C04415, ,7047,17335|47893,J418.343F, , , , , , , , 
C01425,3929-61-1,4610,5390,J364.668H, , , , , , , , 
C01424,149-91-7,4609,30778,J7.408J,GDE,C00002647,B00289, , , , , 
C04411, ,7045,35121|43468,J1.641.400J,IPM,C00019691,B01741, , , , , 
C03544, ,6348, , , , , , , , , , 
C07148,64-77-7,9357,27999,J1.406K, , , , , , , , 
C07149,26171-23-3,9358,71941,J20.519B,TLT, , , , , , , 
C07144,586-06-1,9353,6792|82719,J6.736I, , , , , , , , 
C07146,54-49-9,9355,6794,J4.155F, , , , , , , , 
C07147,59-98-3,9356,28502,J4.796A, , , , , , , , 
C07140,55142-85-3,9349,9588,J11.390E,TIC, , , , , , , 
C07141,26839-75-8,9350,9599,J10.426D,TIM, , , , , , , 
C07142,41708-72-9,9351,9611,J16.873D, , , , , , , , 
C07143,5588-33-0,9352,6780,J8.016K, , , , , , , , 
C03547, ,6350,10615, , , , , , , , ,DFA0267
C03541, ,6345,28624, , , , , , , , , 
C06810,59277-89-3,9029,2453,J11.247J,AC2, , , , , , , 
C06813,98-95-3,9032,27798,J3.989F,NBZ, ,B01056, , , , , 
C06812,154-21-2,9031,6472,J22.137F,3QB, , , , , , , 
C06814, ,9033,37492,J2.764.070B, , , , , , , , 
C06817,28981-97-7,9035,2611,J9.279G,08H, , , , , , , 
C06819,20537-88-6,9037,2636,J23.675F, , , , , , , , 
C06818,768-94-5,9036,2618,J6.971J,308, , , , , , , 
G02739, , , , , , , , ,19009,31000|31335|46728,JCGG-STR009709, 
G02738, , , , , , , , ,19008,11481|11486|16997,JCGG-STR009708, 
G02735, , , , , , , , ,19005,4986|29522|29536,JCGG-STR009705, 
G02734, , , , , , , , ,19004,18702,JCGG-STR009704, 
G02737, , , , , , , , ,19007,25643|29452,JCGG-STR009707, 
G02736, , , , , , , , ,19006,23805|29740,JCGG-STR009706, 
G02731, , , , , , , , ,10555,7753|50154,JCGG-STR000618, 
G02730, , , , , , , , ,19001,18703,JCGG-STR009701, 
G02733, , , , , , , , ,19003,25644|29450,JCGG-STR009703, 
G02732, , , , , , , , ,19002,19655|41507,JCGG-STR009702, 
G05708, , , , , , , , ,21008,23232,JCGG-STR011864, 
G05707, , , , , , , , , ,42139, , 
G05706, , , , , , , , ,21007,4869,JCGG-STR011863, 
G05701, , , , , , , , ,21004,8209,JCGG-STR011860, 
G05700, , , , , , , , ,21003,8210,JCGG-STR011859, 
G05703, , , , , , , , ,21006,5392,JCGG-STR011862, 
G05702, , , , , , , , ,21005,5393,JCGG-STR011861, 
G09851, , , , , , , , , ,4473, , 
G09850, , , , , , , , , ,39534, , 
G09853, , , , , , , , ,23927,12518|23637|50757,JCGG-STR014991, 
G09852, , , , , , , , ,23926,3154,JCGG-STR014990, 
G09855, , , , , , , , ,23929,150,JCGG-STR014993, 
G09854, , , , , , , , ,23928,8550,JCGG-STR014992, 
G09856, , , , , , , , ,23930,7746,JCGG-STR014995, 
G09859, , , , , , , , ,23932,4995,JCGG-STR014997, 
G09858, , , , , , , , ,23931,123,JCGG-STR014996, 
C05437,128-33-6,7800,18252,J10.048J, ,C00023749,B01856,LMST01010066, , , ,SST9103
C05434, ,7798,27533,J276.705H, ,C00022807, ,LMPR01070259, , , ,VCA1008
C05435,472-93-5,7799,27740,J5.953F, ,C00000926,B00781,LMPR01070260, , , ,VCA1007
C05432,502-65-8,7796,15948,J6.206E,LYC,C00000911,B00778,LMPR01070257, , , ,VCA0010
