KEGG, CAS,PubChem,ChEBI,NIKKAJI,PDB-CCD,KNApSAcK,3DMET,LIPIDMAPS,GlycomeDB,CCSD,JCGGDB,LipidBank
G05500, , , , , , , , ,20863,47121|47122,JCGG-STR011713, 
G01087, , , , , , , , ,17912,3931|18987|33669,JCGG-STR008506, 
G01084, , , , , , , , ,17910,4018|4019|4020|4081|49142,JCGG-STR008504, 
G01085, , , , , , , , ,17911,8080|38563,JCGG-STR008505, 
G01082, , , , , , , , ,17909,2305|2965|3192|18320|23976|30736|33935|33953|45903,JCGG-STR008502, 
G01083, , , , , , , , ,6579,3458|16673|29981|30541|43480,JCGG-STR027655, 
G01080, , , , , , , , ,17907,9677|10172|10521|10522|14602|15532|19749|23625|24259|26783,JCGG-STR008500, 
G01081, , , , , , , , ,17908,3194|3237|3246|29077|41622,JCGG-STR008501, 
G01088, , , , , , , , ,17913,2940|9428|20560|32336|41970|41999|49224,JCGG-STR008507, 
G01089, , , , , , , , ,17914,1970|2934|7204|7205|7206|20598|20948|22699|33070|37141|40540|42859|49248,JCGG-STR008508, 
G11872, , , , , , , , ,5596,3928|7988,JCGG-STR026606, 
G11873, , , , , , , , ,5387,2106|4703,JCGG-STR026381, 
G11870, , , , , , , , ,24607,49355, , 
G11871, , , , , , , , ,12574,26140,JCGG-STR002799, 
G11876, , , , , , , , ,24610,3936,JCGG-STR015728, 
G11877, , , , , , , , ,3166,3927|7986,JCGG-STR022599, 
G11874, , , , , , , , ,24608,28808,JCGG-STR015726, 
G11875, , , , , , , , ,24609,11567,JCGG-STR015727, 
G11878, , , , , , , , ,16256,30109,JCGG-STR006768, 
G11879, , , , , , , , ,24611,17304, , 
C12429,79466-09-4,582819,31057,J128.352I, ,C00018343,B04509,LMPK13050003, , , , 
C12428,76034-18-9,582818,31056,J128.350B, , ,B04508, , , , , 
C12425,21288-60-8,582815,75291,J16.250G, ,C00043491,B04505, , , , , 
C12424,16234-96-1,582814,31181,J14.493B,VAK,C00043257,B04504, , , , , 
C12427,97583-07-8,582817,31047,J91.946B, , ,B04507, , , , , 
C12426, ,582816,32096,J2.783.379I, , ,B04506, , , , , 
C12421,91432-47-2,582811,31178,J93.397J, ,C00017707,B04501, , , , , 
