"Metabolite Abbreviation","Metabolite Name","Charge","Compartment","Boundary Condition","Neutral metabolite formula","Charged metab. formula","KeggID","PubChem ID","CheBI ID"
"M_c_m"," "," ","m","false"," "," "," "," "," "
"M_dgmp_m","dgmp","  ","m","false"," "," ","c00362"," "," "
"M_g_m"," "," ","m","false"," "," "," "," "," "
"M_u_m"," "," ","m","false"," "," "," "," "," "
"M_hypox_c","hypoxanthine","  ","c","false"," "," ","c00262"," "," "
"M_xmp_c","XMP","  ","c","false"," "," ","c00655"," "," "
"M_xanth_c","xanthine","  ","c","false"," "," ","c00385"," "," "
"M_aspphos_c","L-4-Aspartylphosphate","  ","c","false","C4H8NO7P","C4H8NO7P","C03082","5980","15836"
"M_semiald_c","L-Aspartate 4-semialdehyde","  ","c","false","C4H7NO3","C4H7NO3","C00441","3730","13086 18051"
"M_homos_c","Homoserine","  ","c","false","C4H9NO3","C4H9NO3","C00263","3561","15699"
"M_homos_p","Homoserine","  ","p","false","C4H9NO3","C4H9NO3","C00263","3561","15699"
"M_semiald_p","L-Aspartate 4-semialdehyde","  ","p","false","C4H7NO3","C4H7NO3","C00441","3730","13086 18051"
"M_plhomos_c","Phospho-L-homoserine","  ","c","false","C4H10NO6P","C4H10NO6P","C01102","4336","15961"
"M_acetyde_m","Acetaldehyde","  ","m","false","C2H4O","C2H4O","C00084","3384","15343"
"M_acetyde_c","Acetaldehyde","  ","c","false","C2H4O","C2H4O","C00084","3384","15343"
"M_gly_p","glycine","  ","p","false","C2H5NO2","C2H5NO2","c00037"," "," "
"M_acetyde_p","Acetaldehyde","  ","p","false","C2H4O","C2H4O","C00084","3384","15343"
"M_thr_p","Threonine","  ","p","false","C4H9NO3","C4H9NO3","C00188","3488","16857"
"M_3phpyr_c","3P-Hydroxypyruvate","  ","c","false","C3H5O7P","C3H5O7P","C03232","6103","30933"
"M_3phpyr_m","3P-Hydroxypyruvate","  ","m","false","C3H5O7P","C3H5O7P","C03232","6103","30933"
"M_3phpyr_p","3P-Hydroxypyruvate","  ","p","false","C3H5O7P","C3H5O7P","C03232","6103","30933"
"M_hydrxglut_c","2-Hydroxyglutarate","  ","c","false","C5H8O5","C5H8O5","c02630","5610","17084"
"M_pser_c","Phosphoserine","  ","c","false","C3H8NO6P","C3H8NO6P","C01005","4251","15811"
"M_phydrx_c","O-Phospho-4-hydroxy-L-threonine","  ","c","false","C4H10NO7P","C4H10NO7P","c06055","8325","18336"
"M_oxhydrx_c","2-Oxo-3-hydroxy-4-phosphobutanoate","  ","c","false","C4H7O8P","C4H7O8P","c06054","8324","27951"
"M_indgp_c","(3-indoyl)-glycerolphosphate","  ","c","false","C11H14NO6P","C11H14NO6P","C03506","6317","18299 51793"
"M_trp_c","Tryptophan","  ","c","false","C11H12N2O2","C11H12N2O2","C00078","3378","16828"
"M_ind_c","indole","  ","c","false","C8H7N","C8H7N","C00463","3747","16881"
"M_acethomser_c","O-Acetyl-L-homoserine","  ","c","false","C6H11NO4","C6H11NO4","C01077","4315","16288"
"M_metthiol_c","Methanethiol","  ","c","false"," "," ","c00409"," "," "
"M_sulf_c","sulfate","  ","c","false","H2SO4","H2SO4","C00059","3359","16189"
"M_asulf_c","adenylyl sulfate","  ","c","false"," "," ","c00224"," "," "
"M_paps_c","3'-Phosphoadenylyl sulfate","  ","c","false"," "," ","c00053"," "," "
"M_thrdx_c","theoredoxin","  ","c","false","C10H14N4O4S2R4","C10H14N4O4S2R4","c00342","3635","15967"
"M_thrdxdis_c","Thioredoxin disulfide","  ","c","false","C10H12N4O4S2R4","C10H12N4O4S2R4","c00343","3636","18191"
"M_sulft_c","sulfite","  ","c","false"," "," ","c00094"," "," "
"M_pap_c","Adenosine 3',5'-bisphosphate","  ","c","false"," "," ","c00054"," "," "
"M_sulft_p","sulfite","  ","p","false"," "," ","c00094"," "," "
"M_h2s_p","Sulfide","  ","p","false","H2S","H2S","C00283","3578","16136"
"M_acetser_p","O-Acetyl-L-serine","  ","p","false","C5H9NO4","C5H9NO4","C00979","4228","17981"
"M_2ab2e_c","2-Aminobut-2-enoate","  ","c","false"," "," ","c17234"," "," "
"M_s2acetlac_c","(S)-2-acetolactate","  ","c","false","C5H8O4","C5H8O4","C06010","8282","18409"
"M_dihyd3mebut_c","(R)-2,3-dihydroxy-3-methylbutanoate, 2,3-dihydroxy-isovalerate","  ","c","false","C5H10O4","C5H10O4","C04272","6935","15684 49072"
"M_3me2oxobut_c","3-Methyl-2-oxobutanoate","  ","c","false","C5H8O3","C5H8O3","C00141","3441","11851 16530"
"M_3me2oxobut_p","3-Methyl-2-oxobutanoate","  ","p","false","C5H8O3","C5H8O3","C00141","3441","11851 16530"
"M_val_p","Valine","  ","p","false","C5H11NO2","C5H11NO2","C00183","3483","16414"
"M_3me2oxobut_m","3-Methyl-2-oxobutanoate","  ","m","false","C5H8O3","C5H8O3","C00141","3441","11851 16530"
"M_2dhp_m","2-Dehydropantoate","  ","m","false"," "," ","c00966"," "," "
"M_2dhp_c","2-Dehydropantoate","  ","c","false"," "," ","c00966"," "," "
"M_pant_c","pantoate","  ","c","false"," "," ","c00522"," "," "
"M_sprn_m","spermine","  ","m","false"," "," "," "," "," "
"M_sper_m","spermidine","  ","m","false"," "," ","c00315"," "," "
"M_aproa_m","3-aminopropanal","  ","m","false"," "," ","c15556"," "," "
"M_alab_m","beta-alanine","  ","m","false"," "," ","c00099"," "," "
"M_pant_m","pantoate","  ","m","false"," "," ","c00522"," "," "
"M_ppi_m","Pyrophosphate","  ","m","false","P2H4O7","P2H4O7","C00013","3315","18361 29888"
"M_pnto_m","pantothenate","  ","m","false"," "," ","c00864"," "," "
"M_pnto_c","pantothenate","  ","c","false"," "," ","c00864"," "," "
"M_4ppan_c","D-4'-Phosphopantothenate","  ","c","false"," "," ","c03492"," "," "
"M_4ppcys_c","(R)-4'-Phosphopantothenoyl-L-cysteine","  ","c","false"," "," ","c04352"," "," "
"M_pan4p_c","Pantetheine 4'-phosphate","  ","c","false"," "," ","c01134"," "," "
"M_dpcoa_c","dephospho-coa","  ","c","false"," "," ","c00882"," "," "
"M_apoacp_c"," ","  ","c","false"," "," ","c03688"," "," "
"M_s2acet2hbut_c","(s)-2-aceto-2-hydroxybutanoate","  ","c","false","C5H8O5","C5H8O5","C06006","8279","27681 49256"
"M_3h3me2oxpen_c",".","  ","c","false","C6H10O4","C6H10O4","C14463","17395463","34008 49257"
"M_dh3mpen_c","(R)-2,3-dihydroxy-3-methylpentanoate","  ","c","false","C6H12O4","C6H12O4","C06007","8280","27512 49258"
"M_3met2oxp_c","(S)-3-Methyl-2-oxopentanoate","  ","c","false","C6H10O3","C6H10O3","C00671","3940","15614"
"M_3met2oxp_p","(S)-3-Methyl-2-oxopentanoate","  ","p","false","C6H10O3","C6H10O3","C00671","3940","15614"
"M_ile_p","Isoleucine","  ","p","false","C6H13NO2","C6H13NO2","C00407","3697","17191"
"M_3met2oxp_m","(S)-3-Methyl-2-oxopentanoate","  ","m","false","C6H10O3","C6H10O3","C00671","3940","15614"
"M_ile_m","Isoleucine","  ","m","false","C6H13NO2","C6H13NO2","C00407","3697","17191"
"M_ile_c","Isoleucine","  ","c","false","C6H13NO2","C6H13NO2","C00407","3697","17191"
"M_2ipm_p","(2S)-2-Isopropylmalate","  ","p","false","C7H12O5","C7H12O5","C02504","5516","1178 35128"
"M_2ipm_c","(2S)-2-Isopropylmalate","  ","c","false","C7H12O5","C7H12O5","C02504","5516","1178 35128"
"M_isopm_c","2-isopropylmaleate","  ","c","false","C7H10O4","C7H10O4","C02631","5611","17275"
"M_3isopm_c","(2R,3S)-3-Isopropylmalate","  ","c","false","C7H12O5","C7H12O5","C04411","7045","35121"
"M_2isop2oxs_c","(2S)-2-Isopropyl-3-oxosuccinate","  ","c","false","C7H10O5","C7H10O5","C04236","6905","1467"
"M_met2oxopen_c","4-Methyl-2-oxopentanoate","  ","c","false","C6H10O3","C6H10O3","C00233","3532","48430"
"M_met2oxopen_p","4-Methyl-2-oxopentanoate","  ","p","false","C6H10O3","C6H10O3","C00233","3532","48430"
"M_leu_p","Leucine","  ","p","false","C6H13NO2","C6H13NO2","C00123","3423","15603"
"M_met2oxopen_m","4-Methyl-2-oxopentanoate","  ","m","false","C6H10O3","C6H10O3","C00233","3532","48430"
"M_leu_m","Leucine","  ","m","false","C6H13NO2","C6H13NO2","C00123","3423","15603"
"M_leu_c","Leucine","  ","c","false","C6H13NO2","C6H13NO2","C00123","3423","15603"
"M_mhthpp_m","2-Methyl-1-hydroxypropyl-ThPP","  ","m","false","C16H27N4O8P2S","C16H27N4O8P2S","C15976","47205289"," "
"M_mdlipoe_m"," "," ","m","false"," "," "," "," "," "
"M_mhbthpp_m","3-Methyl-1-hydroxybutyl-ThPP","  ","m","false","C17H29N4O8P2S","C17H29N4O8P2S","C15974","472025287"," "
"M_mbdilipoE_m","S-(3-Methylbutanoyl)-dihydrolipoamide-E","  ","m","false","C13H24NO2S2R","C13H24NO2S2R","C15975","47205288"," "
"M_mhbuthpp_m","2-Methyl-1-hydroxybutyl-ThPP","  ","m","false","C17H29N4O8P2S","C17H29N4O8P2S","C15978","47205291"," "
"M_2mbdilipoe_m","S-(2-Methylbutanoyl)-dihydrolipoamide-E","  ","m","false","C13H24NO2S2R","C13H24NO2S2R","C15979","47205292"," "
"M_thpp_c","ThPP","  ","c","false","C12H19N4O7P2S","C12H19N4O7P2S","C00068","3368","9532"
"M_mhthpp_c","2-Methyl-1-hydroxypropyl-ThPP","  ","c","false","C16H27N4O8P2S","C16H27N4O8P2S","C15976","47205289"," "
"M_lipoE_c","Lipoamide-E","  ","c","false","C8H14NOS2R","C8H14NOS2R","C15972","47205285"," "
"M_mdlipoe_c"," "," ","c","false"," "," "," "," "," "
"M_mhbthpp_c","3-Methyl-1-hydroxybutyl-ThPP","  ","c","false","C17H29N4O8P2S","C17H29N4O8P2S","C15974","472025287"," "
"M_mbdilipoE_c","S-(3-Methylbutanoyl)-dihydrolipoamide-E","  ","c","false","C13H24NO2S2R","C13H24NO2S2R","C15975","47205288"," "
"M_mhbuthpp_c","2-Methyl-1-hydroxybutyl-ThPP","  ","c","false","C17H29N4O8P2S","C17H29N4O8P2S","C15978","47205291"," "
"M_2mbdilipoe_c","S-(2-Methylbutanoyl)-dihydrolipoamide-E","  ","c","false","C13H24NO2S2R","C13H24NO2S2R","C15979","47205292"," "
"M_mdilipoe_c","S-(2-Methylpropanoyl)-dihydrolipoamide-E","  ","c","false","C12H22NO2S2R","C12H22NO2S2R","C15977","47205290"," "
"M_en6l_c","Enzyme N6-(dihydrolipoyl)lysine","  ","c","false","C8H16NOS2R","C8H16NOS2R","c15973"," "," "
"M_icoa_c","isobutyryl-CoA","  ","c","false","C25H42N7O17P3S","C25H42N7O17P3S","C00630","3903","15479"
"M_mbcoa_c","(S)-2-Methylbutanoyl-CoA","  ","c","false","C26H44N7O17P3S","C26H44N7O17P3S","C15980","47205293"," "
"M_3mbcoa_c","3-Methylbutanoyl-CoA","  ","c","false","C26H44N7O17P3S","C26H44N7O17P3S","C02939","5858","15487"
"M_3mbcoa_m","3-Methylbutanoyl-CoA","  ","m","false","C26H44N7O17P3S","C26H44N7O17P3S","C02939","5858","15487"
"M_fad_m","FAD","  ","m","false","C27H33N9O15P2","C27H33N9O15P2","c00016"," "," "
"M_mbecoa_m","3-Methylbut-2-enoyl-CoA","  ","m","false","C26H42N7O17P3S","C26H42N7O17P3S","C03069","5969","15486"
"M_fadh2_m","FADH2","  ","m","false","C27H35N9O15P2","C27H35N9O15P2","c01352"," "," "
"M_dipico_c","L-2,3-Dihydrodipicolinate","  ","c","false","C7H7NO4","C7H7NO4","C03340","6183","18042"
"M_tetpic_c","L-2,3,4,5-tetrahydrodipicolinate","  ","c","false","C7H9NO4","C7H9NO4","C03972","692","864"
"M_ll_c","LL-2,6-Diaminopimelate","  ","c","false","C7H14N2O4","C7H14N2O4","C00666","3935","16026"
"M_meso_c","meso-2,6-diaminopimelate","  ","c","false","C7H14N2O4","C7H14N2O4","C00680","3949","16488 30308"
"M_lys_c","Lysine","  ","c","false","C6H14N2O2","C6H14N2O2","C00047","3349","18019"
"M_lys_m","Lysine","  ","m","false","C6H14N2O2","C6H14N2O2","C00047","3349","18019"
"M_sacc_m","L-Saccharopine","  ","m","false","C11H20N2O6","C11H20N2O6","C00449","3737","16927"
"M_ally_m","Allysine","  ","m","false","C6H11NO3","C6H11NO3","c04076","6771","17917"
"M_amadp_m","l-2-aminoadipate","  ","m","false","C6H11NO4"," ","c00956"," "," "
"M_gdlipoE_m","S-glutaryldihydrolipoamide-E","  ","m","false","C13H22NO4S2R","C13H22NO4S2R","c06157"," "," "
"M_but2enoyl_coa_m","trans-But-2-enoyl-CoA","  ","m","false","C25H40N7O17P3S","C25H40N7O17P3S","C00877","4133","15473 36926"
"M_3hydrobut_coa_m","(s)-3-Hydroxy-butanoyl-CoA","  ","m","false","C25H42N7O18P3S","C25H42N7O18P3S","C01144","4375","15453"
"M_but2enoyl_coa_c","trans-But-2-enoyl-CoA","  ","c","false","C25H40N7O17P3S","C25H40N7O17P3S","C00877","4133","15473 36926"
"M_3hydrobut_coa_c","(s)-3-Hydroxy-butanoyl-CoA","  ","c","false","C25H42N7O18P3S","C25H42N7O18P3S","C01144","4375","15453"
"M_actcoa_m","acetoacetyl-CoA","  ","m","false","C25H40N7O18P3S","C25H40N7O18P3S","C00332","3626","15345"
"M_actcoa_c","acetoacetyl-CoA","  ","c","false","C25H40N7O18P3S","C25H40N7O18P3S","C00332","3626","15345"
"M_aproa_c","3-aminopropanal","  ","c","false"," "," ","c15556"," "," "
